RANK,NAME,id joueur,date of birth,country,continent,place of birth,LAT PLAYER,LONG PLAYER,image,TEAM,logo image,headquarters location,LAT TEAM,LONG TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
1,Joel Embiid,Joel Embiid,1994-03-16T00:00:00Z,Cameroon,Africa,Yaoundé,3.8577777777778,11.518055555556,Joel Embiid 2019.jpg,Philadelphia 76ers,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Philadelphia_76ers_logo.svg/1200px-Philadelphia_76ers_logo.svg.png,Philadelphia,39.952777777778,-75.163611111111,center,29.1,66,34.6,37,14.5,771,0.857,1128,0.587,200,0.33,0.573,0.655,33.1,10.2,4.2,1,1.7,3.4,43.2,37.2,47.4,13,124.4,104.1
2,Luka Dončić,Luka Dončić,1999-02-28T00:00:00Z,Slovenia,Europe,Ljubljana,46.05138888888889,14.50611111111111,Luka Doncic 2021 (cropped).jpg,Dallas Mavericks,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Dallas_Mavericks_logo.svg/1200px-Dallas_Mavericks_logo.svg.png,Dallas,32.779166666667,-96.808888888889,forward,24.1,66,36.2,37.7,14,694,0.742,908,0.588,541,0.342,0.56,0.609,32.4,8.6,8,1.4,0.5,3.6,41,40.4,49,14.4,120,109.2
3,Damian Lillard,Damian Lillard,1990-07-15T00:00:00Z,United States of America,North America,Oakland,37.8,-122.25,Damian Lillard.jpg,Portland Trail Blazers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png,Portland,45.516666666667,-122.66666666667,guard,32.7,58,36.3,33.8,13.7,558,0.914,544,0.574,658,0.371,0.564,0.645,32.2,4.8,7.3,0.9,0.3,3.3,36.9,39.5,44.3,11.5,126.4,117.6
4,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,1998-07-12T00:00:00Z,Canada,North America,Toronto,43.670277777778,-79.386666666667,2023-08-09 Deutschland gegen Kanada (Basketball-Länderspiel) by Sandro Halank–108.jpg,Oklahoma City Thunder,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Oklahoma_City_Thunder.svg/1200px-Oklahoma_City_Thunder.svg.png,Oklahoma City,35.4823,-97.5352,guard,24.7,68,35.5,32.8,12.2,739,0.905,1213,0.533,168,0.345,0.531,0.626,31.4,4.8,5.5,1.6,1,2.8,36.2,36.9,41.7,10.6,124.9,109.8
5,Giánnis Antetokoúnmpo,Giannis Antetokounmpo,1994-12-06T00:00:00Z,Greece,Europe,Athens,37.98416666666667,23.728055555555557,Giannis Antetokounmpo (51915153421) (cropped).jpg,Milwaukee Bucks,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Milwaukee_Bucks_logo.svg/1200px-Milwaukee_Bucks_logo.svg.png,Milwaukee,43.05,-87.95,forward,28.3,63,32.1,38.8,16.2,772,0.645,1108,0.596,171,0.275,0.571,0.605,31.1,11.8,5.7,0.8,0.8,3.9,42.9,36.8,48.6,15.9,116.8,100.6
6,Jayson Tatum,Jayson Tatum,1998-03-03T00:00:00Z,United States of America,North America,St. Louis,38.62638888888889,-90.19944444444444,Jayson Tatum (51688503300) (cropped).jpg,Boston Celtics,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/1200px-Boston_Celtics.svg.png,Boston,42.360277777777775,-71.05777777777777,forward,25.1,74,36.9,32.7,12,622,0.854,873,0.558,686,0.35,0.543,0.607,30.1,8.8,4.6,1.1,0.7,2.9,38.8,34.7,43.5,11.6,118.6,106.7
7,Kevin Durant,Kevin Durant,1988-09-29T00:00:00Z,United States of America,North America,Suitland,38.8486,-76.9244,"Kevin Durant (Wizards v. Warriors, 1-24-2019) (cropped).jpg",Brooklyn Nets,https://logodownload.org/wp-content/uploads/2021/04/brooklyn-nets-logo-2.png,Brooklyn,40.692777777778,-73.990277777778,forward,34.5,39,36,31.5,15.6,285,0.937,545,0.622,189,0.376,0.607,0.674,29.7,6.7,5.3,0.8,1.5,3.5,36.4,35,41.7,11.3,122.3,110.5
8,Stephen Curry,Stephen Curry,1988-03-14T00:00:00Z,United States of America,North America,Akron,41.073055555556,-81.517777777778,Stephen Curry Shooting (cropped) (cropped).jpg,Golden State Warriors,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/1200px-Golden_State_Warriors_logo.svg.png,San Francisco,37.7775,-122.41638888888889,guard,35.1,56,34.7,31,13.6,281,0.915,494,0.579,639,0.427,0.614,0.656,29.4,6.1,6.3,0.9,0.4,3.2,35.5,35.7,41.8,12,123.4,112.1
9,LeBron James,LeBron James,1984-12-30T00:00:00Z,United States of America,North America,Akron,41.073055555556,-81.517777777778,LeBron James (51959977144) (cropped2).jpg,Los Angeles Lakers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/1200px-Los_Angeles_Lakers_logo.svg.png,Los Angeles,34.05223,-118.24368,forward,38.3,55,35.5,33.3,12.7,327,0.768,841,0.58,377,0.321,0.55,0.584,28.9,8.3,6.8,0.9,0.6,3.2,37.2,35.7,44,13.3,114.5,110.3
10,Donovan Mitchell,Donovan Mitchell,1996-09-07T00:00:00Z,United States of America,North America,Elmsford,41.055,-73.82,Donovan Mitchell cavs 2023 (cropped).jpg,Cleveland Cavaliers,https://upload.wikimedia.org/wikipedia/fr/0/06/Cavs_de_Cleveland_logo_2017.png,Cleveland,41.482222222222,-81.669722222222,guard,26.6,68,35.8,32.1,11.4,368,0.867,767,0.566,635,0.386,0.572,0.614,28.3,4.3,4.4,1.5,0.4,2.6,32.5,32.7,36.9,9.1,118.7,107.2
