TEAM,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,logo image,LAT TEAM,LONG TEAM
Atlanta Hawks,25.395000000000003,43.2,17.869999999999997,19.330000000000002,11.129999999999999,92.5,0.7095,253.45,0.5551999999999999,125.25,0.26044999999999996,0.52905,0.55545,8.39,3.29,1.6849999999999998,0.51,0.33,0.86,11.68,10.065000000000001,13.355,6.345,114.76315789473684,111.03684210526315,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Atlanta_Hawks_logo.svg/1200px-Atlanta_Hawks_logo.svg.png,33.756944444444,-84.390277777778
Boston Celtics,27.461111111111112,47.22222222222222,19.383333333333333,16.805555555555557,12.738888888888889,98.27777777777777,0.7127222222222223,210.33333333333334,0.5367222222222222,194.0,0.3010555555555556,0.5279444444444444,0.5517222222222222,8.600000000000001,3.7944444444444443,2.0166666666666666,0.5333333333333333,0.4277777777777778,0.9555555555555555,12.38888888888889,10.622222222222224,14.399999999999999,6.9944444444444445,115.61666666666666,105.66666666666667,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/1200px-Boston_Celtics.svg.png,42.360277777777775,-71.05777777777777
Brooklyn Nets,27.68,35.0,20.548000000000002,18.96,21.8,72.4,0.7170799999999999,168.28,0.46299999999999997,110.84,0.28424,0.5203913043478261,0.5522608695652174,9.628,3.488,2.3680000000000003,0.636,0.456,1.324,13.116,11.992,15.484000000000002,6.792000000000001,110.21739130434783,107.74583333333334,https://logodownload.org/wp-content/uploads/2021/04/brooklyn-nets-logo-2.png,40.692777777778,-73.990277777778
Charlotte Hornets,25.157894736842106,43.05263157894737,22.242105263157896,17.98421052631579,14.373684210526317,101.6842105263158,0.7646315789473684,249.68421052631578,0.49300000000000005,140.47368421052633,0.31589473684210523,0.5115263157894736,0.5492631578947368,9.978947368421052,3.978947368421052,2.4157894736842103,0.6947368421052631,0.4473684210526316,1.2421052631578948,13.957894736842105,12.389473684210527,16.36842105263158,7.184210526315789,109.8,110.35789473684211,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Charlotte_Hornets_%282014%29.svg/800px-Charlotte_Hornets_%282014%29.svg.png,35.226944444444,-80.843333333333
Chicago Bulls,27.45555555555556,46.94444444444444,17.77777777777778,18.005555555555556,11.016666666666667,99.33333333333333,0.670611111111111,263.77777777777777,0.5728888888888889,131.5,0.3790555555555556,0.5661666666666667,0.5875555555555556,7.894444444444444,3.0999999999999996,1.7555555555555555,0.5833333333333334,0.35,0.8555555555555556,10.977777777777778,9.63888888888889,12.738888888888889,5.983333333333333,118.57333333333332,106.92,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/1200px-Chicago_Bulls_logo.svg.png,41.85003,-87.65005
Cleveland Cavaliers,27.75,45.888888888888886,19.26111111111111,17.961111111111112,13.161111111111111,102.44444444444444,0.7801111111111111,244.22222222222223,0.6067222222222222,143.83333333333334,0.3466111111111111,0.5676111111111112,0.5950000000000001,8.666666666666666,3.261111111111111,1.9166666666666667,0.6222222222222222,0.36666666666666664,0.9666666666666666,11.905555555555557,10.572222222222223,13.822222222222223,6.466666666666666,115.64117647058823,104.30588235294118,https://upload.wikimedia.org/wikipedia/fr/0/06/Cavs_de_Cleveland_logo_2017.png,41.482222222222,-81.669722222222
Dallas Mavericks,28.82608695652174,38.04347826086956,18.556521739130435,19.91304347826087,13.530434782608696,89.43478260869566,0.6201304347826087,154.2173913043478,0.5829565217391304,146.17391304347825,0.32965217391304347,0.5828260869565217,0.6036521739130435,8.73913043478261,2.8000000000000003,1.808695652173913,0.4956521739130435,0.2826086956521739,0.9043478260869565,11.543478260869565,10.543478260869565,13.35217391304348,6.28695652173913,113.31904761904761,109.5095238095238,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Dallas_Mavericks_logo.svg/1200px-Dallas_Mavericks_logo.svg.png,32.779166666667,-96.808888888889
Denver Nuggets,27.505555555555556,49.888888888888886,19.172222222222224,18.666666666666668,14.583333333333334,101.88888888888889,0.7173888888888889,251.61111111111111,0.5401111111111111,142.16666666666666,0.38861111111111113,0.5491111111111111,0.5708888888888889,9.011111111111111,3.4555555555555557,2.2222222222222223,0.5777777777777778,0.37222222222222223,1.1111111111111112,12.466666666666667,11.25,14.705555555555556,7.316666666666666,112.47058823529412,108.57058823529412,https://upload.wikimedia.org/wikipedia/fr/3/35/Nuggets_de_Denver_2018.png,39.739166666667,-104.98472222222
Detroit Pistons,25.113636363636363,37.77272727272727,20.37727272727273,19.045454545454547,11.586363636363636,95.72727272727273,0.8032727272727272,203.6818181818182,0.5081818181818182,120.86363636363636,0.2821818181818182,0.5055909090909091,0.5648181818181818,9.200000000000001,3.6772727272727277,1.7136363636363638,0.6136363636363636,0.36818181818181817,1.1545454545454545,12.886363636363637,10.909090909090908,14.581818181818182,5.945454545454546,108.97999999999999,111.86500000000001,https://upload.wikimedia.org/wikipedia/commons/3/39/Logo_of_the_Detroit_Pistons.png,42.331666666667,-83.0475
Golden State Warriors,26.927777777777777,47.111111111111114,19.794444444444444,19.288888888888888,18.933333333333334,91.94444444444444,0.7546111111111111,214.05555555555554,0.5603333333333333,196.66666666666666,0.35605555555555557,0.5737222222222222,0.6007222222222223,9.522222222222222,3.6555555555555554,2.3333333333333335,0.6055555555555556,0.35,1.338888888888889,13.18888888888889,11.86111111111111,15.516666666666667,7.894444444444444,114.05555555555556,108.68333333333334,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/1200px-Golden_State_Warriors_logo.svg.png,37.7775,-122.41638888888887
